SAP_ID,Equipment_ID
2390,OB02002215
2372,OB02002078
2318,OB02003817
2336,OB02002197
2423,OB02002970
2415,OB02002088
2419,OB02012704
2421,OB02002747
2434,OB02004102
2281,OB02002975
2401,OB02002158
2489,OB02002740
2489,OB02004936
2546,OB02012577
2568,OB02002759
2445,OB02002732
2524,OB02026518
2524,OB02012708
2467,OB02003815
2580,OB02002122
2580,OB02023534
2677,OB02002968
2702,OB02002181
2611,OB02006220
2655,OB02012541
2633,OB02007175
3083,OB02001058
3083,OB02006700
3029,OB02002228
3029,OB02016457
3120,OB02007407
3065,OB02005114
3148,OB02004232
3101,OB02010340
3047,OB02002135
3047,OB02004806
3156,OB02002127
3210,OB02003220
3210,OB02016042
3167,OB02004408
3276,OB02002114
3276,OB02004407
3355,OB02002067
3319,OB02002120
3319,OB02006404
3337,OB02004613
3298,OB02001055
3298,OB02006317
3361,OB02005112
3384,OB02010346
3435,OB02006412
3435,OB02003454
3402,OB02016848
3402,OB02016862
3468,OB02004474
3424,OB02001277
3446,OB02002066
3446,OB02023341
3507,OB02004337
3507,OB02006698
3553,OB02002233
3553,OB02009611
3553,OB02003124
3531,OB02003399
3575,OB02026432
3597,OB02012493
3624,OB02002095
4500,OB02007125
3708,OB02010339
3708,OB02006054
3646,OB02002071
3646,OB02003149
3668,OB02005603
3710,OB02012714
4536,OB02003048
4536,OB02007777
4530,OB02005001
4530,OB02002110
4530,OB02023343
4544,OB02005001
4544,OB02002110
4544,OB02023343
4522,OB02016846
4522,OB02004779
4522,OB02003262
4539,OB02006706
4539,OB02016857
4533,OB02007716
4533,OB02009617
4588,OB02005117
4608,OB02002065
4608,OB02012713
4626,OB02023338
4626,OB02004775
4626,OB02005123
4566,OB02012712
5113,OB02002155
5146,OB02026378
5189,OB02002080
5189,OB02004941
5135,OB02003123
5255,OB02007401
5211,OB02005607
5211,OB02006707
5299,OB02018835
5233,OB02002128
5315,OB02002188
5315,OB02004850
5277,OB02004854
5277,OB02016856
5277,OB02010345
5471,OB02004856
5471,OB02016850
5343,OB02009291
5343,OB02007409
5485,OB02009290
5359,OB02016841
5337,OB02006410
5337,OB02006059
5492,OB02002741
6506,OB02004191
6515,OB02005000
6522,OB02026568
6522,OB02010342
6522,OB02002734
6678,OB02002229
6643,OB02006407
6661,OB02004827
6625,OB02002185
6586,OB02026396
6565,OB02008571
6598,OB02004169
6609,OB02002755
6609,OB02016860
6544,OB02026568
6544,OB02010342
6544,OB02002734
6613,OB02005113
6716,OB02002737
6716,OB02002957
6617,OB02004339
6617,OB02003311
6750,OB02002756
6750,OB02002191
6738,OB02004755
6725,OB02018847
6725,OB02006704
6794,OB02005604
6816,OB02002738
6816,OB02018846
7601,OB02004853
7601,OB02012707
7613,OB02026535
7637,OB02004764
7637,OB02016070
7625,OB02016859
6835,OB02002072
7793,OB02004854
7793,OB02016856
7793,OB02010345
7659,OB02003816
7771,OB02005118
7836,OB02004855
7836,OB02010337
7918,OB02003312
7918,OB02023533
7815,OB02012703
7860,OB02026500
7860,OB02006060
7901,OB02023338
7901,OB02004775
7901,OB02005123
8102,OB02002134
8085,OB02006406
8085,OB02004934
8146,OB02005006
8146,OB02006058
7950,OB02016845
7923,OB02002780
7923,OB02004938
8226,OB02002960
8226,OB02007410
8212,OB02004808
8235,OB02003696
8235,OB02006350
8180,OB02005611
8180,OB02012705
